GENERIC,SAMPLEID,MISSION,STATION,LANDMARK,BAGNUMBER,ORIGINALWEIGHT,SAMPLETYPE,SAMPLESUBTYPE,PRISTINITY,PRISTINITYDATE,HASTHINSECTION,HASDISPLAYSAMPLE,DISPLAYSAMPLENUMBER,GENERICDESCRIPTION
78517,,Apollo 17,8,,,1.82,Crustal,Cataclasite,82.97,2007-08-01 0:00:00,TRUE,,,friable anorthositic cataclasite
78518,,Apollo 17,8,,,0.88,Breccia,Regolith,100,2007-08-01 0:00:00,FALSE,,,"clast poor, friable, dark matrix"
78530,,Apollo 17,8,,,88.92,Soil,Unsieved,70.18,2007-08-01 0:00:00,FALSE,,,
79001,,Apollo 17,9,VAN SERG CRATER,,743.4,Core,Unsieved,78.276,2014-12-01 0:00:00,TRUE,,,
79002,,Apollo 17,9,VAN SERG CRATER,,409.4,Core,Unsieved,75.193,2014-12-01 0:00:00,TRUE,,,
79010,,Apollo 17,9,EVA-3,,87.05,Soil,Unsieved,100,2007-08-01 0:00:00,FALSE,,,
79110,,Apollo 17,9,,,66.3,Soil,Unsieved,96.8,2007-08-01 0:00:00,FALSE,,,
79120,,Apollo 17,9,VAN SERG CRATER,,116.4,Soil,Unsieved,99.66,2007-08-01 0:00:00,FALSE,,,"Fines, Unsieved"
79121,,Apollo 17,9,VAN SERG CRATER,,214.4,Soil,<1 mm,99.214,2013-12-01 0:00:00,FALSE,,,"Fines, < 1MM"
79122,,Apollo 17,9,VAN SERG CRATER,,13.97,Soil,1-2 mm,100,2007-08-01 0:00:00,FALSE,,,"Fines, 1-2MM"
79123,,Apollo 17,9,VAN SERG CRATER,,13.14,Soil,2-4 mm,100,2007-08-01 0:00:00,FALSE,,,"Fines, 2-4MM"
79130,,Apollo 17,9,VAN SERG CRATER,,3.99,Soil,Unsieved,0,2007-08-01 0:00:00,FALSE,,,
79150,,Apollo 17,9,VAN SERG CRATER,,5.63,Soil,Unsieved,82.24,2007-08-01 0:00:00,FALSE,,,
79170,,Apollo 17,9,VAN SERG CRATER,,43.42,Soil,Unsieved,65.41,2007-08-01 0:00:00,FALSE,,,
79190,,Apollo 17,9,VAN SERG CRATER,,13.38,Soil,Unsieved,84.83,2007-08-01 0:00:00,FALSE,,,
79210,,Apollo 17,9,VAN SERG CRATER,,5.55,Soil,Unsieved,62.34,2007-08-01 0:00:00,FALSE,,,
79220,,Apollo 17,9,VAN SERG CRATER,,93.49,Soil,Unsieved,98.61,2007-08-01 0:00:00,FALSE,,,"Fines, Unsieved"
79221,,Apollo 17,9,VAN SERG CRATER,,152.6,Soil,<1 mm,76.132,2015-03-01 0:00:00,TRUE,,,"Fines, < 1MM"
79222,,Apollo 17,9,VAN SERG CRATER,,7.22,Soil,1-2 mm,96.537,2013-06-01 0:00:00,FALSE,,,"Fines, 1-2MM"
79223,,Apollo 17,9,VAN SERG CRATER,,6.24,Soil,2-4 mm,100,2013-06-01 0:00:00,FALSE,,,"Fines, 2-4MM"
79225,,Apollo 17,9,,,7.42,Breccia,Regolith,83.113,2013-08-01 0:00:00,TRUE,,,"friable, unstudied"
79226,,Apollo 17,9,,,6.73,Breccia,Regolith,77.519,2013-08-01 0:00:00,TRUE,,,"clast poor, friable unstudied"
79227,,Apollo 17,9,,,5.57,Breccia,Regolith,100,2007-08-01 0:00:00,FALSE,,,"soil clod, highly friable, unstudied"
79228,,Apollo 17,9,,,2.5,Breccia,Regolith,100,2007-08-01 0:00:00,FALSE,,,"soil clod, highly friable, unstudied"
79240,,Apollo 17,9,VAN SERG CRATER,,113.3,Soil,Unsieved,99.29,2007-08-01 0:00:00,FALSE,,,"Fines, Unsieved"
79241,,Apollo 17,9,VAN SERG CRATER,,174.3,Soil,<1 mm,93.24,2014-08-01 0:00:00,FALSE,,,"Fines, < 1MM"
79242,,Apollo 17,9,VAN SERG CRATER,,11.32,Soil,1-2 mm,97.792,2013-06-01 0:00:00,FALSE,,,"Fines, 1-2MM"
79243,,Apollo 17,9,VAN SERG CRATER,,10.46,Soil,2-4 mm,100,2014-09-01 0:00:00,FALSE,,,"Fines, 2-4MM"
79260,,Apollo 17,9,VAN SERG CRATER,,118.9,Soil,Unsieved,99.62,2007-08-01 0:00:00,FALSE,,,"Fines, Unsieved"
79261,,Apollo 17,9,VAN SERG CRATER,,187.8,Soil,<1 mm,86.38,2014-12-01 0:00:00,TRUE,,,"Fines, < 1MM"
79262,,Apollo 17,9,VAN SERG CRATER,,11.74,Soil,1-2 mm,97.956,2013-06-01 0:00:00,FALSE,,,"Fines, 1-2MM"
79263,,Apollo 17,9,VAN SERG CRATER,,11.46,Soil,2-4 mm,100,2007-08-01 0:00:00,FALSE,,,"Fines, 2-4MM"
79510,,Apollo 17,9,VAN SERG CRATER,,107.6,Soil,Unsieved,98.42,2007-08-01 0:00:00,FALSE,,,"Fines, Unsieved"
79511,,Apollo 17,9,VAN SERG CRATER,,179.2,Soil,<1 mm,95.884,2014-08-01 0:00:00,TRUE,,,"Fines, < 1MM"
79512,,Apollo 17,9,VAN SERG CRATER,,11.32,Soil,1-2 mm,93.357,2013-12-01 0:00:00,TRUE,,,"Fines, 1-2MM"
79513,,Apollo 17,9,VAN SERG CRATER,,9.94,Soil,2-4 mm,89.94,2012-03-01 0:00:00,TRUE,,,"Fines, 2-4MM"
60020,,Apollo 16,,,,51.91,Residue,,88.31,2007-08-01 0:00:00,FALSE,,,
60030,,Apollo 16,,,,79.26,Residue,,86.9,2007-08-01 0:00:00,FALSE,,,
60040,,Apollo 16,,,,12.12,Residue,,100,2007-08-01 0:00:00,FALSE,,,
60051,,Apollo 16,,,,195.3,Soil,<1 mm,89.254,2014-08-01 0:00:00,TRUE,,,"Fines, < 1mm"
60052,,Apollo 16,,,,11.43,Soil,1-2 mm,91.251,2012-03-01 0:00:00,TRUE,,,"Fines, 1-2mm"
60053,,Apollo 16,,,,7.41,Soil,2-4 mm,91.161,2013-12-01 0:00:00,FALSE,,,"Fines, 2-4mm"
60057,,Apollo 16,10,,,3.1,Crustal,Anorthosite,100,2007-08-01 0:00:00,FALSE,,,Cataclastic anorthosite
60058,,Apollo 16,10,,,2.12,Breccia,Fragmental,100,2007-08-01 0:00:00,FALSE,,,Fragmental polymict breccia
60059,,Apollo 16,10,,,1.05,Crustal,Anorthosite,100,2007-08-01 0:00:00,FALSE,,,Cataclastic anorthosite
60070,,Apollo 16,,,,79.83,Residue,,99.34,2007-08-01 0:00:00,FALSE,,,
60090,,Apollo 16,,,,0.1,Residue,,0,2007-08-01 0:00:00,FALSE,,,
60110,,Apollo 16,,,,2.08,Residue,,66.35,2007-08-01 0:00:00,FALSE,,,
60130,,Apollo 16,,,,1.07,Residue,,74.39,2007-08-01 0:00:00,FALSE,,,
60210,,Apollo 16,,,,12.78,Residue,,89.98,2007-08-01 0:00:00,FALSE,,,
60230,,Apollo 16,,,,39.61,Residue,,99.29,2007-08-01 0:00:00,FALSE,,,
60250,,Apollo 16,,,,18.31,Residue,,82.69,2007-08-01 0:00:00,FALSE,,,
60270,,Apollo 16,,,,37.26,Residue,,90.45,2007-08-01 0:00:00,FALSE,,,
60310,,Apollo 16,,,,2.02,Residue,,77.72,2007-08-01 0:00:00,FALSE,,,
60330,,Apollo 16,,,,2.51,Residue,,52.99,2007-08-01 0:00:00,FALSE,,,
